task_idx,task_id,recipient_condition,recipient_wording,recipient_label,donor_type,donor_condition,donor_label,config,family,boundary,hidden_indices,common_suffix_tokens,baseline_margin,patched_margin,raw_margin_shift,signed_transfer_effect
0,task_000,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,single_H15,single,15,15,103,-0.038257718086242676,-0.03768932819366455,0.000568389892578125,0.000568389892578125
0,task_000,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,single_H15,single,15,15,103,0.36429792642593384,0.41540032625198364,0.051102399826049805,-0.051102399826049805
0,task_000,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,single_H15,single,15,15,96,0.12719666957855225,0.10123169422149658,-0.025964975357055664,-0.025964975357055664
0,task_000,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,single_H15,single,15,15,96,0.3710913062095642,0.3723161816596985,0.0012248754501342773,-0.0012248754501342773
0,task_000,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,single_H16,single,16,16,103,-0.038257718086242676,-0.036049842834472656,0.0022078752517700195,0.0022078752517700195
0,task_000,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,single_H16,single,16,16,103,0.36429792642593384,0.37527400255203247,0.010976076126098633,-0.010976076126098633
0,task_000,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,single_H16,single,16,16,96,0.12719666957855225,0.10828709602355957,-0.018909573554992676,-0.018909573554992676
0,task_000,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,single_H16,single,16,16,96,0.3710913062095642,0.3685731887817383,-0.0025181174278259277,0.0025181174278259277
0,task_000,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,single_H17,single,17,17,103,-0.038257718086242676,-0.012498736381530762,0.025758981704711914,0.025758981704711914
0,task_000,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,single_H17,single,17,17,103,0.36429792642593384,0.3762251138687134,0.011927187442779541,-0.011927187442779541
0,task_000,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,single_H17,single,17,17,96,0.12719666957855225,0.14815747737884521,0.02096080780029297,0.02096080780029297
0,task_000,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,single_H17,single,17,17,96,0.3710913062095642,0.35931694507598877,-0.01177436113357544,0.01177436113357544
0,task_000,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,single_H18,single,18,18,103,-0.038257718086242676,0.05011773109436035,0.08837544918060303,0.08837544918060303
0,task_000,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,single_H18,single,18,18,103,0.36429792642593384,0.2770960330963135,-0.08720189332962036,0.08720189332962036
0,task_000,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,single_H18,single,18,18,96,0.12719666957855225,0.19809246063232422,0.07089579105377197,0.07089579105377197
0,task_000,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,single_H18,single,18,18,96,0.3710913062095642,0.2967967987060547,-0.07429450750350952,0.07429450750350952
0,task_000,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,single_H19,single,19,19,103,-0.038257718086242676,0.023995161056518555,0.06225287914276123,0.06225287914276123
0,task_000,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,single_H19,single,19,19,103,0.36429792642593384,0.3036152124404907,-0.060682713985443115,0.060682713985443115
0,task_000,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,single_H19,single,19,19,96,0.12719666957855225,0.1953139305114746,0.06811726093292236,0.06811726093292236
0,task_000,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,single_H19,single,19,19,96,0.3710913062095642,0.2934567928314209,-0.07763451337814331,0.07763451337814331
0,task_000,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,single_H20,single,20,20,103,-0.038257718086242676,0.025854945182800293,0.06411266326904297,0.06411266326904297
0,task_000,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,single_H20,single,20,20,103,0.36429792642593384,0.28530335426330566,-0.07899457216262817,0.07899457216262817
0,task_000,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,single_H20,single,20,20,96,0.12719666957855225,0.2345956563949585,0.10739898681640625,0.10739898681640625
0,task_000,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,single_H20,single,20,20,96,0.3710913062095642,0.2615635395050049,-0.10952776670455933,0.10952776670455933
0,task_000,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,prefix_H15_H16,prefix,16,"15,16",103,-0.038257718086242676,-0.028688549995422363,0.009569168090820312,0.009569168090820312
0,task_000,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,prefix_H15_H16,prefix,16,"15,16",103,0.36429792642593384,0.37506967782974243,0.010771751403808594,-0.010771751403808594
0,task_000,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,prefix_H15_H16,prefix,16,"15,16",96,0.12719666957855225,0.10847485065460205,-0.018721818923950195,-0.018721818923950195
0,task_000,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,prefix_H15_H16,prefix,16,"15,16",96,0.3710913062095642,0.3797483444213867,0.00865703821182251,-0.00865703821182251
