fold,task_idx,task_id,recipient_condition,recipient_wording,relation,config,group_size,control_id,value
0,3,task_003,canonical_test,canonical,opposite_same_wording,early_selector_effect,0,-1,0.045615971088409424
0,3,task_003,canonical_test,canonical,opposite_same_wording,all_attention_sufficiency,224,-1,-0.004882931709289551
0,3,task_003,canonical_test,canonical,opposite_same_wording,all_attention_necessity_loss,224,-1,-0.009350597858428955
0,3,task_003,canonical_test,canonical,opposite_same_wording,top16_sufficiency,16,-1,0.0019899606704711914
0,3,task_003,canonical_test,canonical,opposite_same_wording,top16_necessity_loss,16,-1,0.00039273500442504883
0,3,task_003,canonical_test,canonical,opposite_same_wording,top4_sufficiency,4,-1,-0.0004417896270751953
0,3,task_003,canonical_test,canonical,opposite_same_wording,top4_necessity_loss,4,-1,0.00010895729064941406
0,3,task_003,canonical_test,canonical,opposite_same_wording,top32_sufficiency,32,-1,0.010573029518127441
0,3,task_003,canonical_test,canonical,opposite_same_wording,top32_necessity_loss,32,-1,0.0050942301750183105
0,3,task_003,canonical_test,canonical,opposite_same_wording,top64_sufficiency,64,-1,0.006854414939880371
0,3,task_003,canonical_test,canonical,opposite_same_wording,top64_necessity_loss,64,-1,0.002035856246948242
0,3,task_003,canonical_test,canonical,opposite_same_wording,random16_sufficiency,16,0,0.0037845373153686523
0,3,task_003,canonical_test,canonical,opposite_same_wording,random16_necessity_loss,16,0,0.0052223801612854
0,3,task_003,canonical_test,canonical,opposite_same_wording,random16_sufficiency,16,1,0.0011359453201293945
0,3,task_003,canonical_test,canonical,opposite_same_wording,random16_necessity_loss,16,1,-0.0031654834747314453
0,3,task_003,canonical_test,canonical,opposite_same_wording,random16_sufficiency,16,2,0.002086043357849121
0,3,task_003,canonical_test,canonical,opposite_same_wording,random16_necessity_loss,16,2,0.005171358585357666
0,3,task_003,canonical_test,canonical,opposite_same_wording,random16_sufficiency,16,3,0.0038253068923950195
0,3,task_003,canonical_test,canonical,opposite_same_wording,random16_necessity_loss,16,3,0.0020922422409057617
0,3,task_003,canonical_test,canonical,opposite_same_wording,random16_sufficiency,16,4,0.006228446960449219
0,3,task_003,canonical_test,canonical,opposite_same_wording,random16_necessity_loss,16,4,0.006542384624481201
0,3,task_003,canonical_impl,canonical,opposite_same_wording,early_selector_effect,0,-1,0.12933361530303955
0,3,task_003,canonical_impl,canonical,opposite_same_wording,all_attention_sufficiency,224,-1,-0.007878661155700684
0,3,task_003,canonical_impl,canonical,opposite_same_wording,all_attention_necessity_loss,224,-1,-0.0030875802040100098
0,3,task_003,canonical_impl,canonical,opposite_same_wording,top16_sufficiency,16,-1,0.0009233355522155762
0,3,task_003,canonical_impl,canonical,opposite_same_wording,top16_necessity_loss,16,-1,0.008547663688659668
0,3,task_003,canonical_impl,canonical,opposite_same_wording,top4_sufficiency,4,-1,-0.006642162799835205
0,3,task_003,canonical_impl,canonical,opposite_same_wording,top4_necessity_loss,4,-1,0.0034401416778564453
