task_idx,task_id,recipient_condition,recipient_wording,recipient_label,donor_type,donor_condition,donor_label,config,config_role,span,hidden_indices,common_suffix_len,patched_token_count,baseline_margin,patched_margin,raw_margin_shift,signed_transfer_effect
0,task_000,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,last1_H19,token_scan,last1,19,103,1,-0.034009575843811035,-0.03258705139160156,0.0014225244522094727,0.0014225244522094727
0,task_000,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,last1_H19,token_scan,last1,19,103,1,0.35156023502349854,0.3545263409614563,0.0029661059379577637,-0.0029661059379577637
0,task_000,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,last1_H19,token_scan,last1,19,96,1,0.12457907199859619,0.13108611106872559,0.0065070390701293945,0.0065070390701293945
0,task_000,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,last1_H19,token_scan,last1,19,96,1,0.3694233298301697,0.364507794380188,-0.0049155354499816895,0.0049155354499816895
0,task_000,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,common_H19,token_scan,common,19,103,103,-0.034009575843811035,0.025609493255615234,0.05961906909942627,0.05961906909942627
0,task_000,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,common_H19,token_scan,common,19,103,103,0.35156023502349854,0.30677735805511475,-0.04478287696838379,0.04478287696838379
0,task_000,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,common_H19,token_scan,common,19,96,96,0.12457907199859619,0.19513416290283203,0.07055509090423584,0.07055509090423584
0,task_000,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,common_H19,token_scan,common,19,96,96,0.3694233298301697,0.29748058319091797,-0.07194274663925171,0.07194274663925171
0,task_000,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,common_H19_H24,layer_scan,common,"19,20,21,22,23,24",103,103,-0.034009575843811035,0.034954190254211426,0.06896376609802246,0.06896376609802246
0,task_000,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,common_H19_H24,layer_scan,common,"19,20,21,22,23,24",103,103,0.35156023502349854,0.26939690113067627,-0.08216333389282227,0.08216333389282227
0,task_000,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,common_H19_H24,layer_scan,common,"19,20,21,22,23,24",96,96,0.12457907199859619,0.2453211545944214,0.1207420825958252,0.1207420825958252
